ticket,time,time_msc,time_update,time_update_msc,type,magic,identifier,reason,volume,price_open,sl,tp,price_current,swap,profit,symbol,comment,external_id
942762854,2025-03-03 10:49:40,1740998980944,1740998980,1740998980944,1,234000,942762854,3,0.14,91479.21,92942.87736,91414.02,91544.4,0.0,-9.13,BTCUSD,MRS_BTCUSD_30 mi,
942903134,2025-03-03 12:37:38,1741005458145,1741005458,1741005458145,1,234000,942903134,3,0.27,92227.09,93702.72,91489.27,92280.68,0.0,-14.47,BTCUSD,MRS_BTCUSD_30 mi,
